wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
wn:07376257n,bn:00008250n,n,bam,a sudden very loud noise,YES,,
wn:01728213v,bn:00083083v,v,bang_out,play loudly,YES,,
wn:07376539n,bn:00008343n,n,banging,a continuing very loud noise,YES,,
wn:06800698n,bn:00008483n,n,bar_line,a vertical line before the accented beat marking the boundary between musical bars,YES,,
wn:08247400n,bn:00008541n,n,barbershop_quartet,an unaccompanied quartet of (usually male) voices singing sentimental songs in four-part harmony,YES,,
wn:07049931n,bn:00008552n,n,barcarole,a boating song sung by Venetian gondoliers,YES,,
wn:07049931n,bn:00008552n,n,barcarolle,a boating song sung by Venetian gondoliers,YES,,
wn:02793089n,bn:00008588n,n,baritone,the second lowest brass wind instrument,YES,,
wn:02793089n,bn:00008588n,n,baritone_horn,the second lowest brass wind instrument,YES,,
wn:06872562n,bn:00008587n,n,baritone,the second lowest adult male singing voice,YES,,
wn:06872562n,bn:00008587n,n,baritone_voice,the second lowest adult male singing voice,YES,,
wn:09839436n,bn:00008586n,n,baritone,a male singer,YES,,
wn:09839436n,bn:00008586n,n,barytone,a male singer,YES,,
wn:02795978n,bn:00008699n,n,barrel_organ,a musical instrument that makes music by rotation of a cylinder studded with pegs,YES,,
wn:02795978n,bn:00008699n,n,grind_organ,a musical instrument that makes music by rotation of a cylinder studded with pegs,YES,,
wn:02795978n,bn:00008699n,n,hand_organ,a musical instrument that makes music by rotation of a cylinder studded with pegs,YES,,
wn:02795978n,bn:00008699n,n,hurdy_gurdy,a musical instrument that makes music by rotation of a cylinder studded with pegs,YES,,
wn:02795978n,bn:00008699n,n,hurdy-gurdy,a musical instrument that makes music by rotation of a cylinder studded with pegs,YES,,
wn:02795978n,bn:00008699n,n,street_organ,a musical instrument that makes music by rotation of a cylinder studded with pegs,YES,,
wn:04986796n,bn:00008911n,n,bass,the lowest part of the musical range,YES,,
wn:07032292n,bn:00008912n,n,bass,the lowest part in polyphonic music,YES,,
wn:07032292n,bn:00008912n,n,bass_part,the lowest part in polyphonic music,YES,,
wn:06872354n,bn:00008916n,n,bass,the lowest adult male singing voice,YES,,
wn:06872354n,bn:00008916n,n,bass_voice,the lowest adult male singing voice,YES,,
wn:06872354n,bn:00008916n,n,basso,the lowest adult male singing voice,YES,,
wn:09842528n,bn:00008913n,n,bass,an adult male singer with the lowest voice,YES,,
wn:09842528n,bn:00008913n,n,basso,an adult male singer with the lowest voice,YES,,
wn:02803539n,bn:00008919n,n,bass_clarinet,a large clarinet whose range is an octave below the B-flat clarinet,YES,,
wn:06862954n,bn:00008920n,n,bass_clef,a clef that puts the F below middle C on the fourth line of a staff,YES,,
wn:06862954n,bn:00008920n,n,F_clef,a clef that puts the F below middle C on the fourth line of a staff,YES,,
wn:02803666n,bn:00008921n,n,bass_drum,a large drum with two heads; makes a sound of indefinite but very low pitch,YES,,
wn:02803666n,bn:00008921n,n,gran_casa,a large drum with two heads; makes a sound of indefinite but very low pitch,YES,,
wn:02803934n,bn:00008922n,n,bass_fiddle,largest and lowest member of the violin family,YES,,
wn:02803934n,bn:00008922n,n,bass_viol,largest and lowest member of the violin family,YES,,
wn:02803934n,bn:00008922n,n,bull_fiddle,largest and lowest member of the violin family,YES,,
wn:02803934n,bn:00008922n,n,double_bass,largest and lowest member of the violin family,YES,,
wn:02803934n,bn:00008922n,n,contrabass,largest and lowest member of the violin family,YES,,
wn:02803934n,bn:00008922n,n,string_bass,largest and lowest member of the violin family,YES,,
wn:02804123n,bn:00008923n,n,bass_guitar,the guitar with six strings that has the lowest pitch,YES,,
wn:02803809n,bn:00008931n,n,basset_horn,a tenor clarinet; pitched in the key of F below the B-flat clarinet,YES,,
wn:09842629n,bn:00008939n,n,bassist,a musician who play the bass viol,YES,,
wn:09842716n,bn:00008943n,n,bassoonist,a musician who plays the bassoon,YES,,
wn:02809364n,bn:00009041n,n,baton,a thin tapered rod used by a conductor to lead an orchestra or choir,YES,,
wn:02809364n,bn:00009041n,n,wand,a thin tapered rod used by a conductor to lead an orchestra or choir,YES,,
wn:01726879v,bn:00083265v,v,beat,produce a rhythm by striking repeatedly,YES,,
wn:01880673v,bn:00083262v,v,beat,"indicate by beating, as with the fingers or drumsticks",YES,,
wn:01880560v,bn:00083276v,v,beat_out,beat out a rhythm,YES,,
wn:01880560v,bn:00083276v,v,tap_out,beat out a rhythm,YES,,
wn:01880560v,bn:00083276v,v,thump_out,beat out a rhythm,YES,,
wn:03028987a,bn:00098189a,a,Beethovenian,of or relating to Ludwig van Beethoven or his music,YES,,
wn:07054994n,bn:00009649n,n,beguine,music written in the bolero rhythm of the beguine dance,YES,,
wn:00546216n,bn:00009681n,n,bel_canto,a style of operatic singing,YES,,
wn:09849256n,bn:00009758n,n,bell_ringer,work,YES,,
wn:06892657n,bn:00009908n,n,benefit_concert,a concert given for the benefit of some charitable cause,YES,,
wn:08250168n,bn:00010293n,n,big_band,a large dance or jazz band usually featuring improvised solos by lead musicians,YES,,
wn:07025604n,bn:00001819n,n,black_music,music created by African-American musicians; early forms were songs that had a melodic line and a strong rhythmic beat with repeated choruses,YES,,
wn:07025604n,bn:00001819n,n,African-American_music,music created by African-American musicians; early forms were songs that had a melodic line and a strong rhythmic beat with repeated choruses,YES,,
wn:07377473n,bn:00011127n,n,blare,a loud harsh or strident noise,YES,,
wn:07377473n,bn:00011127n,n,blaring,a loud harsh or strident noise,YES,,
wn:07377473n,bn:00011127n,n,cacophony,a loud harsh or strident noise,YES,,
wn:07377473n,bn:00011127n,n,clamor,a loud harsh or strident noise,YES,,
wn:07377473n,bn:00011127n,n,din,a loud harsh or strident noise,YES,,
wn:01713587v,bn:00083577v,v,blaze_away,perform (an acting passage) brilliantly and rapidly,YES,,
wn:07051517n,bn:00011537n,n,blue_note,a flattened third or seventh,YES,,
wn:07062190n,bn:00011585n,n,bluegrass,a type of country music played at a rapid tempo on banjos and guitars,YES,,
wn:07051185n,bn:00011596n,n,blues,a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes,YES,,
