wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03481206n,,party_in_the_park,"Party in the Park is the generic name given to music concerts organised by various radio stations and local authorities and groups in the United Kingdom, typically in large parks during the summer, however it is also used to refer to a family oriented event where people can literally have a Party in the Park.",party_in_the_park,YES
,bn:03438347n,,"pansori, p'ansori, p’ansori, phansori",Pansori is a Korean genre of musical storytelling performed by a singer and a drummer.,pansori,YES
,bn:03370034n,,"panning, panned_mono, panoramic_potentiometer, pan_pot, stereo-switching, stereo_switching, stereo_panning",Panning is the distribution of a sound signal into a new stereo or multi-channel sound field determined by a pan control setting.,panning,YES
,bn:03438223n,,pacific_reggae,Pacific reggae is a style of reggae music found in the Pacific.,pacific_reggae,YES
,bn:03483177n,,"ouch_noumra,_dourd_noumra,_besh_noumra,_alti_noumra, 3_nuemr@._4_nuemr@._5_nuemr@._6_nuemr@., 3_nümrə._4_nümrə._5_nümrə._6_nümrə.","Ouch noumra, dourd noumra, besh noumra, alti noumra are all dance melodies composed in the second half of the 1920s in Baku, capital city of Azerbaijan.","ouch_noumra, dourd_noumra, besh_noumra,alti_noumra",YES
,bn:03346223n,,"opéra-ballet, opera-ballet, operas-ballet, opera_ballet, operas-ballets, opéra_ballet, opéras-ballet, opera-ballets, opéra-ballets, opéras-ballets","Opéra-ballet is a genre of French Baroque lyric theatre that was most popular during the 18th century, combining elements of opera and ballet, ""that grew out of the ballets à entrées of the early seventeenth century"".","opéra-ballet, opera_a_ballo",YES
,bn:03514673n,,opera_semiseria,"Opera semiseria is an Italian genre of opera, popular in the early and middle 19th century.","opera_semiseria, dramma_semiserio, melodramma_semiserio",YES
,bn:03314845n,,"russian_opera, russian_opera_in_the_18th_century, russian_opera_articles, list_of_russian_operas, list_of_russian_opera_composers, opera_in_russia_in_the_18th_century, soviet_opera, list_of_russian_opera_articles, the_list_of_russian_opera_articles",Russian opera is the art of opera in Russia.,"opera_russa, opere_russe, teatro_d'opera_in_russia, opera_russa_nel_diciottesimo_secolo, lista_di_opere_russe, lista_di_compositori_di_opere_russe, opera_sovietica, lista_di_articoli_sull'opera_russa",YES
,bn:15685363n,,"azerbaijani_opera_and_ballet, opera_in_azerbaijan, opera_and_ballet_in_azerbaijan, azerbaijani_opera",Opera in Azerbaijan has a history dating back to the 19th century Russian Empire.,"opera_in_azerbaijan, opera_in_azerbaigian, balletto_e_opera_azerbaigiana, opera_azerbaigiana",YES
,bn:03778365n,,"oi!, oi_punk, punk-skinheads, oi!_skin, oi_music, punk-skin, punk-skinhead, oi!_punk, oi!_skinhead, oi_punk_ideology, oi!_youth, oi, oi!_punk_ideology, oi!_oi!_oi!",Oi! is a subgenre of punk rock that originated in the United Kingdom in the late 1970s.,"oi!, street_punk, oi",YES
,bn:03542659n,,"nueva_canción, nueva_cancion, canto_nuevo, new_song_movement, nuevo_cancionero","Nueva canción is a left-wing social movement and musical genre in Iberian America and the Iberian peninsula, characterized by folk-inspired styles and socially committed lyrics.","nueva_canción, canto_nuevo",YES
,bn:03565746n,,"noise_pop, noisepop, noise-pop",Noise pop is a subgenre of alternative or indie rock that developed in the mid-1980s in the United Kingdom and United States.,noise_pop,YES
,bn:03365931n,,"new_wave_of_new_wave, new_new_wave, nwonw, the_new_wave_of_the_new_wave","The New Wave of New Wave was a term coined by music journalists to describe a subgenre of the British alternative rock scene in the early 1990s, in which bands displayed post-punk and new wave influences, particularly from bands such as The Clash, Blondie, Wire, and The Stranglers.","new_wave_of_new_wave, new_new_wave, the_wave_of_the_new_wave",YES
,bn:03326360n,,"new_school_hip_hop, rap_music/new_school, new_school, new_school_rap",The new school of hip hop was a movement in hip hop music starting 1983–84 with the early records of Run–D.,"new_school_hip_hop, hip_hop_nuova_scuola, new_school_rap",YES
,bn:03595684n,,"new_orleans_blues, list_of_new_orleans_blues_musicians","New Orleans blues is a subgenre of blues that developed in and around the city of New Orleans, influenced by jazz and Caribbean music.","new_orleans_blues, blues_di_new_orleans, lista_di_musicisti_blues_di_new_orleans",YES
,bn:03569989n,,"neo-progressive_rock, neo-prog, neo_prog_rock, neo-progressive, neo_progressive, neoprog, neoprogressive, neo-prog_rock, neoprog_rock, neo_progressive_rock, neoprogressive_rock, neo_prog",Neo-progressive rock is a subgenre of progressive rock which developed in the UK in the early 1980s.,"neo-prog, neo-progressive_rock, neo-progressive, neoprogressive",YES
,bn:03473252n,,nagoya_kei,"Nagoya kei is an early subgenre of visual kei, developed in the early-1990s music scene of Nagoya, Japan.",nagoya_kei,YES
,bn:03412384n,,"musique_mesurée, musique_mesuree, musique_mesure, musique_mesures_a_l'antique, measured_music, musique_mesurée_à_l’antique_musique_mesurée, musique_mesuré, musique_mesurée_à_l'antique, vers_mesure, musique_mesurés_à_l'antique, musique_mesuree_a_l'antique, vers_mesuré",Musique mesurée à l'antique was a style of vocal musical composition in France in the late 16th century.,musique_mesurée,YES
,bn:03301402n,,sufi_music,"Sufi music is the devotional music of the Sufis, inspired by the works of Sufi poets, like Rumi, Hafiz, Bulleh Shah, Amir Khusrow and Khwaja Ghulam Farid.",musica_sufi,YES
,bn:03371652n,,persian_symphonic_music,Persian symphonic music is a term that generally refers to musical pieces written by Persian composers to be played by Western ensembles and orchestras.,musica_sinfonica_persiana,YES
,bn:03400526n,,"irish_rebel_music, irish_rebel_song, the_west's_awake, republican_song, irish_rebel_songs, rebel_songs, rebel_song, irish_rebel_singer","In Ireland, a rebel song is a folk song whose lyrics extol the deeds of factual events/participants in any of the various armed rebellions against English, and later British, of unwanted rule in Ireland.","musica_ribelle_irlandese, canzone_ribelle_irlandese, canzone_repubblicana, canzoni_ribelli_irlandesi, canzoni_ribelli, canzone_ribelle, cantante_ribelle_irlandese",YES
,bn:03269942n,,"secular_music, secular_songs",Non-religious secular music and sacred music were the two main genres of Western music during the Middle Ages and Renaissance era.,"musica_profana, musica_secolare, canzoni_secolari",YES
,bn:03336883n,,"newa_music, newari_music, newar_music","Newa Music, also spelled Newar Music, is traditional music developed in Nepal by the Newars.","musica_newa, musica_newar, musica_nevar",YES
,bn:03799791n,,"moravian_church_music, moravian_music",The Moravian musical tradition in United States began with the earliest Moravian settlers in the first half of the 18th century.,"musica_morava, musica_della_chiesa_moraviana/morava",YES
,bn:03873627n,,"māori_music, waiata, māori_instrument, māori_instruments, maori_music","Traditional Māori music, or pūoro Māori, is composed or performed by Māori, the native people of New Zealand, and includes a wide variety of folk music styles, often integrated with poetry and dance.","musica_maori, musica_tadizionale_maori, strumento_maori, strumenti_maori",YES
,bn:03469469n,,"contemporary_catholic_liturgical_music, contemporary_catholic_music, catholic_liturgical_music, contemporary_catholic_hymnody, catholic_hymnody, catholic_music",Contemporary Catholic liturgical music encompasses a comprehensive variety of styles of music for Catholic liturgy that grew both before and after the reforms of the Second Vatican Council.,"musica_liturgica_cattolica_contemporane, musica_cattolica_contemporanea, musica_contemporanea_liturgico_cattolico, musica_contemporanea_cattolico, musica_liturgica_cattolica, musica_cattolica",YES
,bn:03391449n,,"hindustani_classical_music, hindustani_music, hindustani_sangeet, north_indian_classical_music, northern_indian_classical_music, pakistani_classical_music, hindustani_classical, classical_music_of_pakistan, hindi-urdu_classical_music, traditional_music_of_pakistan, hindustani_classical_singing, śāstriya_saṅgīt, list_of_hindustani/_north_indian_music_composers, classical_pakistani_music, north_indian_music, gayaki, hindustani_classical_singer",Hindustani classical music is the classical music of northern regions of the Indian subcontinent.,"musica_indostana, musica_classica_indostana, musica_classica_del_nord_dell'india, musica_classica_pakistana, musica_classica_del_pakistan, musica_tradizionale_del_pakistan, canto_classico_industano, lista_di_compositori_di_musica_industana",YES
,bn:03496758n,,french-canadian_music,"French Canadian music is music derived from that brought by the early French settlers to what is now Quebec and other areas throughout Canada, or any music performed by the French Canadian people.","musica_franco_canadese, musica_franco-canadese",YES
,bn:03315820n,,"philippine_folk_music, filipino_folk_music, traditional_filipino_music, pinoy_folk, filipino_folk, traditional_philippine_music, filipino_traditional_music, traditional_music_of_the_philippines","The traditional music of the Philippines, like the folk music of other countries, reflects the life of common, mostly rural Filipinos.","musica_folk_filippina, musica_filippina_tradizionale, folk_filippino, musica_tradizionale_delle_filippine",YES
